,text,Class,screenName
5,"Jokowi: Kalau Palestina tertekan, statement kita keras https://t.co/3vplxOBNsK",0,suarabogorcom
7,"Izin Properti Hitungan Jam, Jokowi: Urus Izin Sehari Udah Kuno https://t.co/0A4jKkoLW5 https://t.co/pmxFpO3its",0,BatamForum
13,BAHAGIANYA SANTRIWATI INI. PUISI DI DEPAN PRESIDEN EH DAPAT SEPEDA LAGI https://t.co/yXlASzxiBD,0,dahlandahi
22,Mensos Khofifah Jadi Tokoh Politik Wanita Sukses Era Pemerintahan Jokowi � JK https://t.co/pAshrZFGvg,0,TangkasNews
31,"Ulama Jamaiyah Batak Muslim Indonesia Temui Jokowi di Istana
https://t.co/c65EaXTmpE
#AyoBerjalan White Supremacists",0,aryopenangsang_
37,"@info -  Kocok Ulang Kabinet Jokowi, Menteri yang Rugikan Negara Dinilai Wajib Dievaluasi",0,GEMAWAHYUH
40,"Konon g boleh cacimaki pemimpin, presiden pemimpin? Okelah anggap sj pemimpin. Bolehnya doain, ya doain pak @jokowi segera diganti yg > baik",1,kendoXirfane
43,"Kabarnya Oom @jokowi, mau reshuffle kabinet. Yang perlu ditanyakan sering reshuffle ini, karena org tidak tepat, atau ga ada visi ya?",1,belaIndonesiaID
50,Bapak Jokowi itu presiden paling ringan tugasnya. Cuma wara wiri ke sana kemari hadirin berbagai acara.,1,dulatips
74,"Ada yang Ucap Pemerintahan SBY Salah Arah, Politisi: Jokowi justru Makin Nyungsep https://t.co/DE1xmCWNLQ",1,anti_densus88
76,Patung Lilin Jokowi di Hongkong Kini Kenakan Kemeja Batik https://t.co/Fb9FS9rg31 https://t.co/jjJxVUjVem,0,detikcom
84,"jokowi cuma ngumbar janji, mirip pas kampanye PilGub DKI 2012 https://t.co/UrCCvTvuky #jokowiPENIPU",1,GayusBastian
103,Pernyataan Jokowi Mengenai Utang IMF Salah https://t.co/wwptDpSnRY,0,adila_permata34
105,"Kerja menko jaman jokowi berat sih, ngurusin kerjaan presiden sementara presidennya jalan bagi2 sepeda",1,verozika
108,EKONOMI DKI MENURUN DR ERA JOKOWI!!   https://t.co/JmcEE8hWoB DKI HARUS TANPA AHOK!! #HaramPilihAhok  #sibernews https://t.co/QBEQHWDzEm,1,tsamaradki1
110,"Soal Kocok Ulang Kabinet, 3 Indikator Ini Perlu Diperhatikan Jokowi https://t.co/809qjmqy5t",0,mynewsindo
111,Apakah Jokowi Mengkhianati Warga Nahdatul Ulama? https://t.co/zMuvfRMORk https://t.co/hsTKfSj95g,1,muelgetto
112,Gara2 jokowi dan pendukungnya di 2014 tuh... https://t.co/rZHl8LSKiX,1,maktal_212
113,@Iwandenig @Umnia77 @DivHumasPolri @jokowi Cara tarik pajak kendaraan kok gitu amat? Kalo rakyat yg lagi susah gimana ? Tega deh,1,Janabachri
116,pak jokowi fullday hanya membuat kami lelah bukan membuat kami pintar....,1,melanidwipuspi2
117,Mending @jokowi urus ekonomi yg morat marit sesuai janji kampanyenya https://t.co/QfkZSXjgre,1,maktal_212
123,Presiden Jokowi Himbau Generasi Muda Waspada Akan Perang Ideologi https://t.co/TfD5RarKfF #Berindo,0,TangkasNews
128,Jokowi Bangga Prestasi Bocah 7 Tahun Hafidz Al Qur`an Tingkat Dunia - Poskota News https://t.co/wdgDc6RDj2,0,ghielankonfire9
130,@Dahnilanzar @jokowi heran ya partai  pendukung utama jokowi ( PDIP dan NASDEM ) tdk pernah komentar ttg TERORIS yg serang BASWEDAN.,1,RamadanSumardi
142,"Rakyat kecewa presiden, patung aje kok di komen

Jokowi Minta Masyarakat Tak Ributkan�Patung https://t.co/76BHJgF8yM https://t.co/tmBKMGR2r8",1,parlianmd
149,@SiBonekaKayu @jokowi Ini kah yg Dibanggakan Hasil Revolusi Mental Era Rezim skarang ?? #PARAH #BEJAT  https://t.co/7L247TtXY4,1,S0N_2000
158,Tangis Santriwati Ini Pecah Saat Bisa Berada Dekat Presiden Jokowi - https://t.co/zto8Q2Ykqe https://t.co/KpWfyOUfDS,0,AEF8386
166,@liputan6dotcom Hidup pak @jokowi maju Indonesia ku,0,triekoe
167,@setkabgoid @jokowi Asli gaya pak @jokowi <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>,0,de21man
169,@Spiritnkri Inilah citra (positif) yg mencerminkan karakter presiden @jokowi.,0,eswede_sr
171,"Negara jadi kacau balau, ini yg dl jd pendukungnya.... https://t.co/zDKZqpohTt",1,ghurudevisva
174,Yg boleh hanya ributin ganti presiden...eneg saya melihat jokowi https://t.co/p9WuERJX1B,1,maktal_212
177,"Sudahkah Anda Di Tipu Jokowi Hari Ini ?
@Jenderal08 @presiden2014com",1,RizkyNaruto5
187,Pak @jokowi smoga diberikan solusi <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/VnhxiDhUIt,1,hendrikk168
201,"SUMBAWANESIA: Jokowi Susuri Trans Papua, Menteri Susi Jajal Motor Trail di Jalanan Sumbawa https://t.co/YTgywxripv",0,sumbawaheadline
218,Presiden Jokowi datang ke Kabupaten Jember https://t.co/Q9mFk51UtW,0,AtsilahJ
224,Yg fitnah pakdhe @jokowi pasti Bibit PKI https://t.co/pHP0fzzG1s,1,said_fazel
226,Najwa Shihab Tanggapi Isu Dirinya Jadi Menteri Jokowi https://t.co/UZSyZZ59xI,0,SayHeiYu
234,"Presiden Jokowi Ingatkan Ancaman BUDAYA ASING, Tapi Kok Malah Bela Patung China Ya? https://t.co/FyY6SvLfrw https://t.co/R3QmcQ34pp",1,suara
240,|&gt; Tim Ekonomi di Kabinet Jokowi Mandul: Jokowinomics Tumpul dan Mirip ''Gundul Pacul '' https://t.co/ODaciPIGbT,1,1nfoku
243,@CecepSyam  @AlKausar5 Doli Kurnia dkk Minta Jokowi Turun Tangan Bersihkan Citra Golkar #DukungPerpuOrmas,0,dadi_jengkol
258,@Yusrilihza_Mhd  @jokowi Sekolah Tak Harus Terapkan Full Day School. Jokowi mempersilakan sekolah yang sudah menerapkan program,0,AdiputriBin
260,"350 tahun dijajah belanda. 3,5 thn dijajah jepang. 69 tahun Merdeka dan hampir 3 tahun jokowi nyaris memporakporandakannya",1,SurYosodipuro
264,Nama Ibu Jokowi Diabadikan Jadi Asrama Ponpes di Jember https://t.co/GR214CKZ1m https://t.co/zRi7Wi0LhQ,0,BlastNewsID
268,@rafara_14 @lawanjokowi_ @jokowi Demokrasi ala komunis tipu tipu <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>,1,kalla_sobari
269,@lawanjokowi_ @jokowi Pokoknya kita disuruh diam saja liat kelakuan mereka yg makin rusak parah,1,bajigurceleng
271,Megawati: Orang Sebut Jokowi Diktator Harus Bisa Buktikan - Kompas TV https://t.co/8twXT1WrRM,0,makassar_tv
277,Hehehe .. pemuja jokowi ahok .. cobal cabul cobal cabul .. narkoba .. koruptor .. sy pansl sy ind mana tuh? Sila apa yg diamalin?,1,FattahAbdullah2
281,"kegigihan pak Jokowi bangun infrastruktur di mana2 menakjubkan sekali..meski perekonomian dunia sedang tak mudah, p� https://t.co/Jm8zzUeOos",0,AmirTornado
288,@CecepSyam  @AlKausar5 Silatnas tahun ini sekaligus kembali menegaskan dukungan kepada jokowi maju dalam pilpres 2019. #Silatnas2Jokowi,1,dadi_jengkol
290,"Memang betul nih keadaan Negriku bgini, @jokowi Ber-koar2 tp kenyataannya Pancasila, Bhinekatunggalika dipasung. https://t.co/nqYhP5Ucq6",1,muthi_mutmainah
291,"kesal dengan mega, buruh ogah milih jokowi jadi presiden https://t.co/ZdpHnMMPXj",1,GayusBastian
296,"Senam Pagi Bersama Mahasiswa, Jokowi ""Nyelip"" di Barisan Belakang - https://t.co/esDwm8UdT0 https://t.co/SbaykTDAwm https://t.co/z1Ruy0gJce",0,FeedNews_id
305,Sedih lihat pemerintahan mu pak @jokowi @setkabgoid #Stop2019Jokowi https://t.co/VzzDvXs9ck,1,beraysayogi
307,@Zumpio asal bukan Jokowi,1,aihaibaraq
308,@rey231213 @Ni35a_ @jokowi Bong... Cebong Apa kabar?,1,kurniawanyoyok
311,"Kasih aja recehan utk mbayar utang rezim jokowi ini .. stnk mati krn motor dah rusak, dijual, dipreteli spare part .. mau dikejar?",1,FattahAbdullah2
316,"@CecepSyam  @AlKausar5 Sekali lagi, inilah amanat Presiden @jokowi tentang pembangunan yang sejatinya bertujuan untuk menurunkan ketimpang.",0,uma_faridah
321,"Jokowi Dibilang Diktator, Megawati: Berhadapan Secara Jantan, Beraninya Bully di Medsos https://t.co/uyYuHFXpaL https://t.co/f8pZdtfgGG",1,Garudakitapage
329,@detikcom @wolipop Hahaha .. @detikcom jokower nih yee ... dibayar brp min? Kok jokowi pake spatu yg jutaan itu gk disebut?  ... <ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086><ed><U+00A0><U+00BD><ed><U+00B8><U+0086>,0,FattahAbdullah2
331,Reshuffle Jilid III untuk Timses Jokowi di 2019 https://t.co/rCFhUbXJv7,0,inilahdotcom
14,Presiden Jokowi Segera Teken UU Pemilu https://t.co/3Bdcz8ToFZ https://t.co/4CFGKmLOpW,0,tammy_neria8
19,Jokowi Janji Hapus Ujian Skripsi https://t.co/djXrYyNAQ7,0,SUL_KFLI_AR
28,pemilu 2019 kita hentikan kegaduhan ini dg TIDAK PILIH Pak Jokowi. https://t.co/pDF0fW07eq,1,sang__fajar
29,"@detikcom mau pemilu merayu lagi,era Jokowi honorer dan ormas Islam terzolimi 
Ayo pilih presiden yg pro honorer &amp;ormas
Islam kumpulkansuara",1,marjokospd
1,@Dahnilanzar @jokowi Mana berani jokowi <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>,1,Bagjanugraha8
7,@BangsaPenguasa @budi_fr2012 Kalo Pikiran Dan Hati Masih Sehat.. Jangan Pilih Jokowi,1,ly_akhmca
12,"Pas jd Gub ngemengnya klo jd Pres gampang,jd sekalian aja Nunggu ntar pensiun jd presiden br macetnya teratasi.",1,daenklee
25,@Ni35a_ @bajigurceleng @jokowi Tepatnya si Raja Ngibul!!,1,jimmivee14
42,@ronavioleta @jokowi Pemerintah anti kritik,1,Draprayogi
48,"Akhir Pekan, Presiden Jokowi Akan Luncurkan 'Program Penguatan Pendidikan Pancasila' https://t.co/hTZWsNisPJ https://t.co/KzXxqGte8N",0,Politik_Indo
50,Cerita Jokowi Berkeringat Salami Relawan Pendukung https://t.co/bMJvohK3EX #lmberita,0,lmberita
58,@fadlizon @AndriansyaFahmi Mari kita bongkar siapa jati diri Jokowi sebenarnya https://t.co/tA6glNzZlv,1,Bomani_rembaldi
65,"""Waktu Reshuffle Hanya Tuhan dan Jokowi yang Tahu"" https://t.co/ReDyMJQBkC https://t.co/y8L48LONSX",0,okezonenews
67,Jokowi Minta Masyarakat Tak Ributkan Patung https://t.co/gMiKYNq7Wh,0,GmailHb
68,@fadlizon @AndriansyaFahmi Mari sadarkan Rakyat dari sang pendusta #2019PresidenBaru https://t.co/Ntxq6mjErN,1,Bomani_rembaldi
80,Semoga pakdhe @jokowi selalu sehat <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/rLJo5JEK0y,0,CumiCue
95,Analisis Ilmiah Psikologi Gibran Jokowi Vs Agus Yudhoyono https://t.co/2pWHGQaiXh #swamedium https://t.co/o28fEk1MFL,0,sandhisandoro
116,"Sekolah Tak Gratis Lagi; Netizen: Makasih Pak Jokowi, Salam Gigit Jari https://t.co/82DAVBielB",1,andi_zega
125,Presiden Jokowi Hadir di Tengah Festival Musik WTF 2017 https://t.co/xtTIlacEEb https://t.co/tp3ZiuyzGU,0,putrisusantilo1
126,"Tampik di Acara Musik, Pakde Jokowi, Kembali Menunjukkan�Kesaktiannya https://t.co/E25SLkRBks https://t.co/wUo2YQBhoy",0,Indonesia1unite
146,@ronavioleta @jokowi Nama nya juga jongos china,1,aliyah_ukhty
150,Kalau sudau berhubungan dengan cukong2 tiongkok Jokowi lemah ga berdaya.. Fix dgn kasus lainnya... #RezimCukong https://t.co/4MIkblQEn7,1,KartaJaya9
158,Banyak anak sekolah yang mengeluh akibat pulang sore@jokowi https://t.co/HpQSfODgJc,0,Riskisetyo1
162,"Ketika Jokowi Luluh, Berikan Sepeda Tanpa Pertanyaan https://t.co/B9hoLhELNA https://t.co/vm1FxCnv3v",0,citraicikiwir
170,@ronavioleta @jokowi Orangnya lagi sibuk ngurusin kodok sama kambing....,1,avicks_ooy
178,Makan indomie pake nasi adalah hak setiap warga negara. Pak Jokowi harus menjamin ini. https://t.co/pl9CqDgpWW,0,awangisme
189,Bil khusus kalo jokowi makan ikan jadi oon https://t.co/9uQEmcoBp1,1,maktal_212
190,"Buka Simposium, Presiden Jokowi Ingat Masa Pimpin Solo  https://t.co/7EdvfvanL4",0,UpdateSoloRaya
192,Kemesraan Gibran Jokowi dan AHY di Istana: https://t.co/383Vpygkf2 melalui @YouTube,0,cyberloveberita
206,Jokowi Titip Program Pemerintah pada Para Relawan https://t.co/nim3BCEskd,0,zonalimadotcom
236,Presiden Jokowi Perintahkan Kepala Daerah Siapkan Bank�Tanah https://t.co/8qL1M4eGng https://t.co/VlTB6HukJM,0,inilampung
256,Zaman rezim Jokowi kok makin hari makin memperlihatkan sikapnya yg kontra sama Islam??? https://t.co/7iIdyS9GXS,1,MrGleans
258,"Jokowi Tegaskan Dirinya Bukan Diktator, Pengamat: Diktator Bukan Hanya Soal Muka, Tapi Soal Kebijakan  https://t.co/5zBjh6zau4",1,wartapolitik
261,Jokowi Akui Kehebatan Gubernur Sulsel https://t.co/jxfmxtOLIU #jambi #serujambi,0,serujambi
262,"@detikcom Tak ada gaya seorang president ,,merakyat ,tp karakter jiwa lbh baek dr sang mantan ,,jokowi dua periode <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D>",0,adhipmadiun
274,@ronavioleta @jokowi ckckck negeri tergadai,1,AswidDlm
275,Jokowi: ASEAN Menciptakan Stabilitas Ekonomi https://t.co/0gAGLd0U8C,0,JakarteJakarte
276,Istana Ungkap Kegemaran Jokowi Makan Ikan https://t.co/rB1jErnOXZ,0,JakarteJakarte
306,Teriakan 'Jokowi Dua Periode' Menggema di Kemayoran https://t.co/0QVg4TcXx8,0,GmailHb
318,"Di Hadapan Relawan, Jokowi Tak Respons soal Dukungan Maju Pilpres 2019 https://t.co/JfVEPHwFAu",0,infoteratas
334,Jadi mikir pak Jokowi itu orang Islam gk ya? Kok gk takut pd ALLAH? @ https://t.co/7D6gXRsOtY,1,KosmetikDinda
356,"Sudah 8 Undang Undang Yang Dilanggar Jokowi Dalam Bidang Ekonomi

Oleh : Salamudin Daeng

Pelanggaran... https://t.co/pjZfNDDNzZ",1,voaislam
360,Masyarakat minta Jokowi 1 periode saja.  Krn masyarakat mau #2019PresidenBaru https://t.co/vixpj4E39E,1,RonnelPitopang
362,Terharu 72 tahun merdeka baru Presiden jokowi yg perduli dengan rakyat PAPUA https://t.co/3hCOK97dGA,0,Zivarazalea15
377,"Presiden Jokowi: Stop Mencela, Jangan Lagi Bicara Hoax, Ribut soal Patung https://t.co/ti6rIGwv4H https://t.co/gT59VvG8xz",0,R4ddin
2,akun bayaran / nasi kucing bungkus gratisan pro jokowi giring opini masyarakat https://t.co/Kiyxn7cIGx #jokowiPENIPU,1,GayusBastian
4,jokowi = capres boneka https://t.co/bQe4kHQdML #jokowiPENIPU,1,GayusBastian
12,joko widodo nyepelein masalah jaminan kesehatan buruh https://t.co/oie6sPBrD9 � #jokowiPENIPU,1,GayusBastian
14,"ngerasa gak berdosa ingkar janji di DKI, jokowi kena kritik https://t.co/kM9x03CB0E",1,GayusBastian
31,Undang-Undang tentang Penyelenggaraan Pemilihan Umum atau UU Pemilu akan berlaku otomatis meski blm diteken oleh Presiden Jokowi #InfoSonora,0,Sonora998
32,@ruhutsitompul Indonesia harus merdeka dari si dajal pki dan jokowi serta si janda bau tanah pemilu yang akan datang,1,Mahbaz_jin
8,Amit amit ngakunya bela islam tapi junjungannya cabul masih di puja puja kayak TUHAN,1,Zivarazalea15
9,Penyelesaian LRT ternyata pake Dana Haji Toh. Klau LRT jadi pasti lebih banyak manfaatx ke ASENG dan Umat Lain. Bukan Umat Islam @jokowi,1,NIDA26111973
10,"Pak @jokowi,apakah Bapak percaya sekolah negeri bisa mengajarkan karakter, Pancasila dan Islam yg ramah in this212era? #CabutPermendikbud23",1,arafik_dewangga
17,"Yg lebih gila ya yg zholimi umat Islam tp mau ngembat dana haji, sementara hasil rampokan CINA GARONG BLBI tdk dikejar2!!
Hayoo om @jokowi :",1,DivGebukNeoPKI
19,"Mafia&amp;cukong2 cina kau sembah2
-bos Reklamasi
-bos PENISTA AGAMA
-bos Meikarta
Ujung2nya mau ngembat dana haji umat� https://t.co/KoM4ro0RUe",1,DivGebukNeoPKI
21,"Saya enek melihat kelakuan aparar yg tutup mata pada kecebong,  tapi main ciduk pada pendukung islam",1,Ragile_Putra_
49,"Hina Jokowi Langsung Ditangkap, Sementara Yang Ancam Bunuh Bebas Melenggang https://t.co/0LjInE11Rv",1,RonySyuja
52,@Mbahe_Google @ustadtengkuzul Hak umat ISLAM jga buat GAK MILIH JOKOWI,1,salwani_tomy
55,@wahyudi_sudibya @ustadtengkuzul @PKSbicara Hak orang orang ISLAM jg buat KAGA MILIH JOKOWI ..,1,salwani_tomy
79,Foto AHY (Anak SBY) bersama Anak Jokowi... Mana Yang Tata Krama Mana Yang NDESO https://t.co/3lOsiGBClk,1,bah_ikam
84,"@Metro_TV @jokowi selama pemerintahan Jokowi umat Islam merasa tertekan,siar di
dibatasi,demo ijin nya dipersulit waktu di tentukan",1,marjokospd
85,"Mungkin Jokowi buat negara jadi seperti ini karena ingin Balas dendam pada negara ini dan umat islam,dia kan diduga keturunan PKI boyolali?",1,071_fox
99,@zarazettirazr Kita kaya kok ngarep banget dana haji umat islam dihutang sm rezim jokowi ?,1,FattahAbdullah2
116,"Sedikit demi sedikit pa @jokowi menghcurkan generasi islam #jihadTolakFDS lbh tepat @saidaqil @cakiminpkb @yusuf_ch 
https://t.co/z1adLJwQkR",1,pkbbrebes
38,"Pakai Sarung, Jokowi Resmikan Pembangunan Masjid dan Pondok Putri Ponpes Nurul Islam https://t.co/qazCjCdNCW https://t.co/gRhpOSpmnH",0,Mega_Captain
42,"Rakyat teriak"" sampe bikin aksi juga lu @jokowi tetep buat perppu ormas buat hajar ormas umat islam... Diktator https://t.co/csZucjMcK3",1,FalsSuara
43,"@lawanjokowi_ @jokowi @KSPgoid Itu representasi keagamaan dari china.
Islam dari mana? Dibawa oleh siapa? Bukan asing?",1,de16set
44,"""Saya pancasila"" tak lantas anti asing &amp; aseng tapi knp digiring kpd anti khilafah..

@jokowi hrs jelaskan ini utk menepis stigma anti Islam",1,PartaaiSocmed
68,@detikcom Pak Jokowi bukan hanya Diktator namun juga otoriter dan makin terkesan Represif anti Islam dlm kebijakannya.,1,FauziyahAmirah
77,Inilah Puisi untuk Jokowi dari Santriwati Ponpes Nurul Islam https://t.co/ir6GxjOLBK,0,PesanSurabaya
86,"@didienAZHAR Gue pastikan tamat riwayat boneka china jokowi,jika sampai ormas2 islam dibubar",1,8TQl7BXFHjGLgNo
103,"Proyek utk pencitraan Pilpres 2019 @jokowi, sangat tidak pantas ngembat dana haji umat Islam yg selama ini dizholimi!
#SelamatkanDanaHaji",1,DivGebukNeoPKI
104,Sebenar nya Islam di negara ini banyak tp seperti buih di lautan. Apalagi dgn @jokowi yg tdk paham agamanya cc @Kemenag_RI @setkabgoid,1,fariznst01
106,"Ancam Tak Dukung Jokowi Di Pilpres 2019, PKB Sebut Jokowi Tipu Umat Islam Soal Full Day School

Via Berita Terkini https://t.co/Mar7fK4eyp",1,terkembang_4817
117,Wartawan Senior: Memusuhi Khilafah adalah Penyesalan Terbesar Jokowi https://t.co/Kygge4oNpc,1,maspiyuuu
119,"Penghina merah putih dianggap biasa,tahun ini pak @jokowi  Mau injak merah putih lagi? Organisasi Islam di bubarkan,anak PKI jd anggota DPR ",1,uswandi1
120,@Muslim_Bersatu1 Smnjk negara di pimpin @jokowi Umat Islam ga di ksh ruang gerak sesuai janji tim buzersnya pd pilpres yl,1,didimening
160,"@rmolco Yg @jokowi dan pendukungnya musuhi saat ini bukan teroris, tapi umat islam pribumi! Yg berseberangan.",1,anonymoeslem
168,"99% pendukung ahok@jokowi orang orang ahli maksiat. Munafik, ngaku islam tapi gak mau sholat jadinya kafur",1,ayoserangisrael
